"WikiPlantaID"	"COL_NOTDECENVIR"	"FLO_NOTDEFLO"	"COL_VIRIGUA"	"COL_TIPDEAMO"	"HAB_HAB"	"FRU_NOTDEFRU"	"COL_AMO"	"COL_AMO_UNIT"	"COL_FER"	"COL_NOT"	"HAB_DAP"	"HAB_DAP_UNIT"	"COL_DAP"	"COL_DAP_UNIT"	"COL_ABU"	"IMA_FOLFACABA"	"IMA_EXS"	"IMA_FOLFACADA"
"1319"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com baixa densidade nas campinaranas florestadas e inundáveis estudadas."
"1321"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta muito parecida com Eschweilera sp. 2 porém folha menos coriacea e de menor tamanho."
"1325"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta presente principalmente nas campinarans sobre solos mais argilosos que o comum."
"1330"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta encontrada principalmente nas campinaranas florestadas sobre solos mais argilosos."
"1334"	"co"				"árvore"	"Pendunculo do fruto presente."	"1"	"número"	"estéril"	"Planta presente principalmente nas campinaranas florestadas e inundáveis sobre solos mais argilosos."
"1338"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas florestadas estudadas."
"1362"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas podendo atingir o dossel florestal. Ritidoma com pequenas fissuras e gretas e exsudato hialino abundante."
"1381"	"co"				"árvore"		"3"	"número"	"estéril"	"Planta com abundância rara nas campinaranas florestadas e inundáveis."
"1388"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas e inundáveis e ocorre principalmente no sub-bosque mas pode alcançar o dossel florestal."
"1559"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara entre as parcelas de campinarana estudadas."
"1560"	"co"				"árvore"		"4"	"número"	"estéril"	"Planta pouco comum nas campinaranas estudadas."
"1714"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta pouco comum porém presente principalmente nas campinaranas florestadas e inundáveis."
"1715"	"co"	"Presença de flores alvas com gineceu amarelado e rosado. Alguns botões florais em desenvolvimento."			"árvore"		"3"	"número"	"flores"	"rvore muito comum nas campinaranas arbustivas e arborizadas, podenco ocorrer também nas fisionomias florestais. Exsudato com coloração branca (látex), presença de raiz de escora e indivíduo com aproximadamente 5 metros de altura."
