"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"17863"	"1336"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 13"	"0.7"	"40.6"	"30"	""	"Viva"	""
"17864"	"1748"	"Myrsinaceae"	"Cybianthus"	"Cybianthus"	"Parcela 13"	"0.7"	"41.5"	"52"	""	"Viva"	""
"17865"	"1341"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 13"	"0.7"	"45.6"	"41"	""	"Viva"	""
"17866"	"790"	"Dichapetalaceae"	"Tapura"	"Tapura"	"Parcela 14"	"0.3"	"29.2"	"35"	""	"Viva"	""
"17867"	"344"	"Burseraceae"	"Protium"	"Protium"	"Parcela 15"	"0.8"	"27.8"	"52"	""	"Viva"	""
"17868"	"1256"	"Euphroniaceae"	"Euphronia"	"Euphronia hirtelloides"	"Parcela 15"	"0"	"33.7"	"26"	""	"Viva"	""
"17869"	"729"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Parcela 16"	"0.2"	"6.3"	"52"	""	"Viva"	""
"17870"	"821"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 16"	"0"	"41"	"70"	""	"Viva"	""
"17871"	"1547"	"Apocynaceae"	""	"Apocynaceae"	"Parcela 18"	"0.5"	"40.9"	"149"	""	"Viva"	""
"17872"	"1633"	""	""	""	"Parcela 13"	"0.7"	"42.8"	"25"	""	"Viva"	""
"17873"	"2522"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0"	"29.3"	"44"	""	"Viva"	""
"17874"	"2536"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 14"	"0.6"	"34.6"	"46"	""	"Viva"	""
"17875"	"1646"	"Euphorbiaceae"	"Hevea"	"Hevea"	"Parcela 13"	"0.7"	"42.6"	"27"	""	"Viva"	""
"17876"	"1261"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 13"	"0.8"	"43.5"	"25"	""	"Viva"	""
"17877"	"226"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 13"	"0.7"	"45.9"	"30"	""	"Viva"	""
"17878"	"2143"	"Malvaceae"	"Scleronema"	"Scleronema micranthum"	"Parcela 14"	"0.3"	"29.4"	"45"	""	"Viva"	""
"17879"	"1445"	"Myrsinaceae"	"Cybianthus"	"Cybianthus"	"Parcela 14"	"0.2"	"46"	"42"	""	"Viva"	""
"17880"	"1259"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Parcela 16"	"0.7"	"9.3"	"46"	""	"Viva"	""
"17881"	"577"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 16"	"0.2"	"46.6"	"66"	""	"Viva"	""
"17882"	"1871"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 16"	"0.3"	"47.2"	"50"	""	"Viva"	""
"17883"	"833"	"Moraceae"	"Ficus"	"Ficus"	"Parcela 13"	"0.8"	"17.4"	"49"	""	"Viva"	""
"17884"	"1747"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 13"	"0.7"	"22.5"	"37"	""	"Viva"	""
