"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8189"	"Clusia_8189"	"Clusiaceae"	"Clusia"	""	""	""	"EU872756"
"8290"	"Csp-1_8290"	"Euphorbiaceae"	"Croton"	"sp.1"	""	"Croton"	"EU872755"
"8343"	"Hbalsamifera_8343"	"Humiriaceae"	"Humiria"	"balsamifera"	""	"Humiria balsamifera"	"EU872764"
"8183"	"Ppuberula_8183"	"Rubiaceae"	"Pagamea"	"puberula"	""	"Pagamea puberula"	"EU872763"
"8275"	"Dsp-1_8275"	"Droseraceae"	"Drosera"	"sp.1"	""	"Drosera"	"EU872765"
"8167"	"Chrysophyllum_8167"	"Sapotaceae"	"Chrysophyllum"	""	""	"Chrysophyllum"	"EU872778"
"8265"	"Imyrtaceae-sp-1_8265"	"Myrtaceae"	"Indet"	"Myrtaceae sp.1"	""	"Myrtaceae"	"EU872779"
"8330"	"Gcalycina_8330"	"Apocynaceae"	"Galactophora"	"calycina"	""	"Galactophora calycina"	"EU872768"
"8256"	"Ppilosa_8256"	"Rubiaceae"	"Pagamea"	"pilosa"	""	"Pagamea pilosa"	"EU872766"
"8190"	"Eschomburgkiana_8190"	"Sapotaceae"	"Elaeoluma"	"schomburgkiana"	""	"Elaeoluma schomburgkiana"	"EU872767"
"8202"	"Hsp-24_8202"	"Humiriaceae"	"Humiria"	"sp.24"	""	"Humiria"	"EU872788"
"8209"	"Pstandleyana_8209"	"Rubiaceae"	"Pagamea"	"standleyana"	""	"Pagamea standleyana"	"EU872758"
"8219"	"Phirsuta_8219"	"Rubiaceae"	"Pagamea"	"hirsuta"	""	"Pagamea hirsuta"	"EU872760"
"8221"	"Pthyrsiflora_8221"	"Rubiaceae"	"Pagamea"	"thyrsiflora"	""	"Pagamea thyrsiflora"	"EU872759"
"8143"	"Tpfermini_8143"	"Adiantaceae"	"Trichomanes"	"pfermini"	""	"Trichomanes"	"EU872751"
"8155"	"Sumbellatus_8155"	"Eriocaulaceae"	"Syngonanthus"	"umbellatus"	""	"Syngonanthus umbellatus"	"EU872750"
"8153"	"Rdiscolor_8153"	"Rubiaceae"	"Retiniphyllum"	"discolor"	""	"Retiniphyllum discolor"	"EU872747"
"8154"	"Pmontana_8154"	"Rubiaceae"	"Pagamea"	"montana"	""	"Pagamea montana"	"EU872749"
"8162"	"Miconia_8162"	"Melastomataceae"	"Miconia"	""	""	"Miconia"	"EU872746"
