"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8159"	"Pplicata_8159"	"Rubiaceae"	"Pagamea"	"plicata"	""	"Pagamea plicata"	"EU872564"
"8157"	"Pdichotoma_8157"	"Rubiaceae"	"Perama"	"dichotoma"	""	"Perama dichotoma"	"EU872554"
"8161"	"Amarginata_8161"	"Melastomataceae"	"Adelobotrys"	"marginata"	""	"Adelobotrys marginata"	"EU872568"
"8152"	"Mrugosa_8152"	"Melastomataceae"	"Miconia"	"rugosa"	""	"Miconia rugosa"	"EU872545"
"8160"	"Pperuviana_8160"	"Rubiaceae"	"Pagamea"	"peruviana"	""	"Pagamea peruviana"	"EU872566"
"9516"	"Rschomburgkii_9516"	"Rubiaceae"	"Retiniphyllum"	"schomburgkii"	""	"Retiniphyllum schomburgkii"	"EU872510"
"9955"	"_9955"	"Rubiaceae"	""	""	""	"Rubiaceae"	"AY185543"
"9954"	"Ppauciflora_9954"	"Rubiaceae"	"Pagamea"	"pauciflora"	""	"Pagamea pauciflora"	"AY046330"
"9960"	"Llanceolata_9960"	"Chrysobalanaceae"	"Licania"	"lanceolata"	""	"Licania lanceolata"	"EU872498"
"9296"	"Dmacrostachyaco_9296"	"Fabaceae"	"Dimorphandra"	"macrostachya"	"congestiflora"	"Dimorphandra macrostachya subsp. congestiflora"	"AF333846"
"9962"	"_9962"	"Indet"	""	""	""	""	"AF072050"
"9961"	"Rgrandis_9961"	"Phyllanthaceae"	"Richeria"	"grandis"	""	"Richeria grandis"	""
