"COLUNA"	"DEFINICAO"
"SUB_INU"	"Inundação. (Quanto a peridiocidade, profundidade e tempo de inundação quando aplicável). Variavel Categoria."
"SUB_SINDEFOG"	"Sinal de fogo. (Se há sinal de que a área foi queimada recentemente, seja pela presença de carvão na base dos caules, seja porque está evidentemente queimada). Variavel Categoria."
"SER_SER"	"Serrapilheira. (se tem serapilheira no solo). Variavel Categoria."
"SUB_CORDOSOL"	"Cor do solo. (Cor predominante do solo). Variavel Categoria."
"HAB_ESTDAVEG"	"Estrutura da vegetação. (Estrutura predominante da vegetação local. Que fisionomia geral tem o hábitat. Pode selecionar mais de uma opção). Variavel Categoria."
"DOS_UNI"	"Uniformidade. (Aspecto do dossel quanto altura relativa das árvores). Variavel Categoria."
"SUB_ROCAFL"	"Rochas afloradas. (Rochas nuas afloradas ou fragmentadas (> 60 mm) com sedimentos sobre ou entre as rochas). Variavel Categoria."
"SUB_TEXDOSOL"	"Textura do solo. (Aspecto geral da textura predominante do solo superficial). Variavel Categoria."
"HAB_NOT"	"Notas. (Notas gerais descrevendo a vegetação). Variavel Texto."
"DOS_ALTDODOS"	"Altura do dossel. (Altura dossel em metros). Variavel Quantitativo. Unidade de medida padrao m."
"DOS_ALTDODOS_UNIT"	"Unidade da medicao da variavel DOS_ALTDODOS"
"DOS_EME"	"Emergentes. (Altura das árvore emergentes acima do dossel em metros). Variavel Quantitativo. Unidade de medida padrao m."
"DOS_EME_UNIT"	"Unidade da medicao da variavel DOS_EME"
"SUB_NOTDESOL"	"Notas de solo. (Qualquer nota detalhada do solo). Variavel Texto."
"HAB_INDDESOM"	"Indice de sombra. (Refere-se a classes pré-definidas para categorizar o habitat da planta quanto a disponibilidade de luz. Assim, quanto menos luz, maior o índice de sombra). Variavel Categoria."
"SER_ESPSER"	"Espessura serrapilheira. (Espessura da camada de serrapilheira ou folhiço acumulada sobre o solo). Variavel Quantitativo. Unidade de medida padrao cm."
"SER_ESPSER_UNIT"	"Unidade da medicao da variavel SER_ESPSER"
