"WikiMonitoramentoID"	"WikiPlantaID"	"TAG_NUM"	"FAMILIA"	"GENERO"	"NOME"	"HABITO"	"COUNTRY"	"PROVINCE"	"MUNICIPIO"	"GAZETTEER"	"PAR_GAZ_SPEC"	"PAR_GAZ_DIMx"	"PAR_GAZ_DIMy"	"GAZETTEER_SPEC"	"GAZ_DIMx"	"GAZ_DIMy"	"GAZ_Startx"	"GAZ_Starty"	"POS_X"	"POS_Y"	"POS_LADO"	"POS_REF"	"POS_DIST"	"POS_ANGULO"	"HABITAT_CLASSE"	"CensoNome"	"DATA_OBS"	"TRAIT_NOME"	"UNIDADE_MEDIDA"	"DAP_1"	"DAP_2"	"DAP_3"	"DAP_4"	"DAP_5"	"DAP_6"	"DAP_7"	"DAP_8"	"DAP_9"	"CO_DAP_POM"
"7767"	"4440"	"11066"	"Fabaceae"	"Swartzia"	"Swartzia anomala"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"16.26"	"4.38"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"98"	""	""	""	""	""	""	""	""	""
"7887"	"4558"	"11069"	""	""	""	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"83.71"	"3.39"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"287"	""	""	""	""	""	""	""	""	""
"8268"	"4924"	"11087"	"Moraceae"	"Brosimum"	"Brosimum cf. guianense"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"191.52"	"8.87"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"152"	""	""	""	""	""	""	""	""	""
"8173"	"4836"	"11097"	"Malpighiaceae"	"Byrsonima"	"Byrsonima eugeniifolia"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"223.24"	"3.05"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"36"	""	""	""	""	""	""	""	""	""
"8109"	"4776"	"11099"	"Euphroniaceae"	"Euphronia"	"Euphronia guianensis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"189.17"	"2.88"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"68"	""	""	""	""	""	""	""	""	""
"8359"	"5004"	"11113"	"Ochnaceae"	"Elvasia"	"Elvasia cf. canescens"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"80"	"8.1"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"128"	""	""	""	""	""	""	""	""	""
"8285"	"4938"	"11133"	"Sapindaceae"	"Cupania"	""	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"170"	"6.73"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"CO_DAP_POM"	"metros"	""	""	""	""	""	""	""	""	""	"1.86"
"8284"	"4938"	"11133"	"Sapindaceae"	"Cupania"	""	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"170"	"6.73"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"122"	""	""	""	""	""	""	""	""	""
"7749"	"4422"	"11151"	"Apocynaceae"	"Couma"	"Couma cf. utilis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"8.34"	"2.3"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"21"	"15"	"20"	"13"	"11"	"10"	""	""	""	""
"8124"	"4791"	"11155"	"Myristicaceae"	"Virola"	"Virola surinamensis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"196.82"	"1.86"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"17"	""	""	""	""	""	""	""	""	""
