"WikiPlantaID"	"PlantaTag"	"Family"	"Genus"	"Species"	"LocalPai"	"LocalPai_DIMx"	"LocalPai_DIMy"	"Local"	"Local_DIMx"	"Local_DIMy"	"Local_Startx"	"Local_Starty"	"PlantaPos_X"	"PlantaPos_Y"	"PlantaPos_LADO"	"TraitName"	"TraitVariation"	"TraitVariationUNIT"	"TraitVariationDATE"	"CensoNome"
"17795"	"2149"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.3"	"2"	"E"	"Altura"	"5"	"m"	"2016-04-17"	""
"17796"	"336"	"Melastomataceae"	""	"Melastomataceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.5"	"22.7"	"D"	"DAP"	"40"	"mm"	"2016-04-17"	""
"17796"	"336"	"Melastomataceae"	""	"Melastomataceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.5"	"22.7"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17800"	"2305"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.3"	"27.8"	"D"	"DAP"	"29"	"mm"	"2016-04-17"	""
"17800"	"2305"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.3"	"27.8"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17801"	"2509"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.3"	"35.8"	"E"	"DAP"	"26"	"mm"	"2016-04-17"	""
"17801"	"2509"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.3"	"35.8"	"E"	"Altura"	"2"	"m"	"2016-04-17"	""
"17802"	"2366"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"34.1"	"D"	"DAP"	"45"	"mm"	"2016-04-17"	""
"17802"	"2366"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.2"	"34.1"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17803"	"2280"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"0.2"	"19"	"D"	"DAP"	"48"	"mm"	"2016-04-17"	""
"17803"	"2280"	"Burseraceae"	"Protium"	"Protium"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"0.2"	"19"	"D"	"Altura"	"6"	"m"	"2016-04-17"	""
"17804"	"1349"	"Malvaceae"	"Catostemma"	"Catostemma"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"0.8"	"26"	"E"	"DAP"	"49"	"mm"	"2016-04-17"	""
"17804"	"1349"	"Malvaceae"	"Catostemma"	"Catostemma"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"0.8"	"26"	"E"	"Altura"	"6"	"m"	"2016-04-17"	""
"17805"	"583"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.8"	"11.3"	"D"	"DAP"	"107"	"mm"	"2016-04-17"	""
"17805"	"583"	"Clusiaceae"	""	"Clusiaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.8"	"11.3"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17806"	"894"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.5"	"E"	"DAP"	"29"	"mm"	"2016-04-17"	""
"17806"	"894"	"Sapotaceae"	""	"Sapotaceae"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.5"	"E"	"Altura"	"2"	"m"	"2016-04-17"	""
