"WikiEspecimenID"	"NOMEsequencia"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"NCBI"
"8213"	"Moronobea_8213"	"Clusiaceae"	"Moronobea"	""	""	"Moronobea"	"EU872914"
"8237"	"_8237"	"Eriocaulaceae"	""	""	""	""	"EU872852"
"8153"	"Rdiscolor_8153"	"Rubiaceae"	"Retiniphyllum"	"discolor"	""	"Retiniphyllum discolor"	"EU872908"
"8143"	"Tpfermini_8143"	"Adiantaceae"	"Trichomanes"	"pfermini"	""	"Trichomanes"	"EU872884"
"8155"	"Sumbellatus_8155"	"Eriocaulaceae"	"Syngonanthus"	"umbellatus"	""	"Syngonanthus umbellatus"	"EU872886"
"8162"	"Miconia_8162"	"Melastomataceae"	"Miconia"	""	""	"Miconia"	"EU872887"
"8154"	"Pmontana_8154"	"Rubiaceae"	"Pagamea"	"montana"	""	"Pagamea montana"	"EU872888"
"8322"	"Protium_8322"	"Burseraceae"	"Protium"	""	""	""	"EU872885"
"8315"	"Csp-6_8315"	"Myrsinaceae"	"Cybianthus"	"sp.6"	""	"Cybianthus"	"EU872909"
"8144"	"Marborescens_8144"	"Araceae"	"Montrichardia"	"arborescens"	""	"Montrichardia arborescens"	"EU872883"
"8308"	"Psp-1_8308"	"Peraceae"	"Pera"	"sp.1"	""	"Pera"	"EU872915"
"8338"	"Pbracao_8338"	"Burseraceae"	"Protium"	"bracao"	""	"Protium"	"EU872882"
"8306"	"Pangustifolia_8306"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872916"
"8330"	"Gcalycina_8330"	"Apocynaceae"	"Galactophora"	"calycina"	""	"Galactophora calycina"	"EU872864"
"8220"	"Pcapitata_8220"	"Rubiaceae"	"Pagamea"	"capitata"	""	"Pagamea capitata"	"EU872870"
"8224"	"Dsp-1_8224"	"Fabaceae"	"Dimorphandra"	"sp.1"	""	"Dimorphandra"	"EU872911"
"8238"	"Pangustifolia_8238"	"Rubiaceae"	"Pagamea"	"angustifolia"	""	"Pagamea"	"EU872918"
"8203"	"Ppuberula_8203"	"Rubiaceae"	"Pagamea"	"puberula"	""	"Pagamea puberula"	"EU872919"
"8204"	"Paracouchini_8204"	"Burseraceae"	"Protium"	"aracouchini"	""	"Protium aracouchini"	"EU872920"
"8312"	"Isp-1_8312"	"Convolvulaceae"	"Ipomoea"	"sp.1"	""	"Ipomoea"	"EU872933"
"8156"	"Lsp-4_8156"	"Chrysobalanaceae"	"Licania"	"sp.4"	""	"Licania"	"EU872956"
"8296"	"Dguianensis_8296"	"Ebenaceae"	"Diospyros"	"guianensis"	""	"Diospyros guianensis"	"EU872957"
"8298"	"Octomeria_8298"	"Orchidaceae"	"Octomeria"	""	""	""	"EU872958"
"8160"	"Pperuviana_8160"	"Rubiaceae"	"Pagamea"	"peruviana"	""	"Pagamea peruviana"	"EU872961"
"8159"	"Pplicata_8159"	"Rubiaceae"	"Pagamea"	"plicata"	""	"Pagamea plicata"	"EU872960"
"8295"	"Hsp-2_8295"	"Humiriaceae"	"Humiria"	"sp.2"	""	"Humiria"	"EU872964"
"8152"	"Mrugosa_8152"	"Melastomataceae"	"Miconia"	"rugosa"	""	"Miconia rugosa"	"EU872959"
"8157"	"Pdichotoma_8157"	"Rubiaceae"	"Perama"	"dichotoma"	""	"Perama dichotoma"	"EU872963"
"8161"	"Amarginata_8161"	"Melastomataceae"	"Adelobotrys"	"marginata"	""	"Adelobotrys marginata"	"EU872962"
"8158"	"Pnitidella_8158"	"Rubiaceae"	"Palicourea"	"nitidella"	""	"Palicourea nitidella"	"EU872965"
"9956"	"Lheteromorpha_9956"	"Chrysobalanaceae"	"Licania"	"heteromorpha"	""	"Licania heteromorpha"	"EU872991"
"9955"	"_9955"	"Rubiaceae"	""	""	""	"Rubiaceae"	"EU872992"
"9958"	"Pegleri_9958"	"Rubiaceae"	"Platycarpum"	"egleri"	""	"Platycarpum egleri"	"EU872993"
"9957"	"Pdaviliana_9957"	"Rubiaceae"	"Pagamea"	"daviliana"	""	"Pagamea"	"EU872995"
"9954"	"Ppauciflora_9954"	"Rubiaceae"	"Pagamea"	"pauciflora"	""	"Pagamea pauciflora"	"EU872996"
"9961"	"Rgrandis_9961"	"Phyllanthaceae"	"Richeria"	"grandis"	""	"Richeria grandis"	"EU872998"
